ADGroup,UserID
@FP ITB Staff,RDuda
DLG ADM MBX DIMC BDO,RDuda
@DLG SQL RS DMS BRS Developers,RDuda
G-ITB-USERS,RDuda
@DLG ITB Users,RDuda
@FP ITB ENTHOME1 Users,RDuda
@FP DMS Share,RDuda
@DLG SW ENT HP ITSMA,RDuda
@DLG DMS RemoteDesktop,RDuda
@FP DMS CORE TEAM,RDuda
@DLG SW ENT Project 2010,RDuda
@FP ITB DPD Staff,RDuda
@FP ITB ISMDLibPROJ,RDuda
@DLG SW ENT Office 2010,RDuda
@FP ITB ISMDLibrary,RDuda
@DLG SW ENT Visio 2010,RDuda
@FP ITB W2000,RDuda
DLG ENT TalentMgtSystem User,RDuda
DLG ENT OWA MFA Users,RDuda
Domain Users,RDuda-22
@DLG SQL RS FSET Developers,RDuda-22
@DLG DMS PP JB ADM,RDuda-22
@DLG DMS Join Workstation,RDuda-22
@DLG DMS Server Admin,RDuda-22
@DLG DMS Join Server,RDuda-22
@DLG DMS SMS Reports PD Application Support,RDuda-22
@DLG DMS GPO Link,RDuda-22
@DLG DMS PD Service Accounts,RDuda-22
@DLG DMS PD TMS Adm,RDuda-22
G_TEAM_AppServices,RDuda-22
@ORG DMS ITB SUPPORT,RDuda-22
@DLG ITB ASD Managers,RDuda-22
@DLG SW DMS DV ITB SOA,RDuda-22
@DLG SW DMS PD ITB ASG,RDuda-22
DLG ENT VMWare View,RDuda-22
FP DMS Devs,RDuda-22
DLG ENT CommVault TMS Administrators,RDuda-22
DLG ENT PWM,RDuda-22
DLG DMS Devs,RDuda-22
@FP ITB W2000,RDuda-22
DLG SW Reflection Desktop,RDuda-22
@DLG DMS PD Application Support,RDuda-22
@FP ITB ISMDLibrary,RDuda-22
G-EDD-USERS,RDuda-22
@DLG ENT ShrPt Read,RDuda-22
@FP ITB ISD Users,RDuda-22
@DLG SW Attachmate,RDuda-22
@FP ITB Staff,RDuda-22
@DLG ITB Desktop Admins,RDuda-22
@DLG ENT Desktop Admin,RDuda-22
@DLG SQL RS DMS BRS Developers,RDuda-22
G-ITB-USERS,RDuda-22
@DLG ITB Users,RDuda-22
@DLG DMS Desktop Admin,RDuda-22
@FP ITB ENTHOME1 Users,RDuda-22
@FP DMS Share,RDuda-22
@DLG SW ENT HP ITSMA,RDuda-22
@FP DMS CORE TEAM,RDuda-22
@DLG SW ENT Project 2010,RDuda-22
@FP ITB DPD Staff,RDuda-22
@FP ITB ISMDLibPROJ,RDuda-22
@DLG SW ENT Office 2010,RDuda-22
@DLG SW ENT Visio 2010,RDuda-22
DLG DMS Desktop Admins,RDuda-22
