ServerName,Service
DGVMSQLRPUPP01,SQLAgent$DGVMSQLRPUPP01
DGVMSQLTAXPP01,SQLAgent$DGVMSQLTAXPP01
DGVMSQLDIAPP01,MSSQL$DGVMSQLDIAPP01
DGVMSQLDIAPP01,SQLAgent$DGVMSQLDIAPP01
DGVMSQLDMSPP01,MSSQL$DGVMSQLDMSPP01
DGVMSQLEXTPP01,MSSQL$DGVMSQLEXTPP01
DGVMSQLFSTPP01,MSSQL$DGC1VDBFSETPP03
DGVMSQLIBLPP01,MSSQL$DGVMSQLIBLPP01
DGVMSQLIBLPP02,MSSQL$DGVMSQLIBLPP02
DGVMSQLICAPPP01,MSSQL$DGC1VDBICAPPP01
DGVMSQLLNKPP01,MSSQL$DGVMSQLLNKPP01
DGVMSQLMSCPP01,MSSQL$DGVMSQLMSCPP01
DGVMSQLPP13,MSSQL$DGC1VDBUTLPP01
DGVMSQLRPTPP01,MSSQL$DGC1VDBRPTPP01
DGVMSQLRPUPP01,MSSQL$DGVMSQLRPUPP01
DGVMSQLTAXPP01,MSSQL$DGVMSQLTAXPP01
DGVMDMSPP01,DMS.Storage.ArchivePurgeService
DGVMAPPUIPP01,EDD.DMS.SEFTWinSvc
DGVMAPPRPUPP01,BridgeTMSToECS
DGVMAPPRPUPP01,CommonPurgeService
DGVMAPPRPUPP01,CommonService
DGVMAPPRPUPP01,ECSExtract
DGVMAPPRPUPP01,ECSInterface
DGVMAPPRPUPP01,ECSValidation
DGVMAPPRPUPP01,EJournalService
DGVMAPPRPUPP01,FillQueueService
DGVMAPPRPUPP01,IDRFlagValidationService
DGVMAPPRPUPP01,MarkSenseService
DGVMAPPRPUPP01,OpexCollectorServiceW
DGVMAPPRPUPP01,OpexCollectorServiceX
DGVMAPPRPUPP01,OpexCollectorServiceY
DGVMAPPRPUPP01,OpexCollectorsService
DGVMAPPRPUPP01,Pass1_IDRBRValidation
DGVMAPPRPUPP01,Pass1_IDRDLCValidationService
DGVMAPPRPUPP01,Pass1_IDRToTMSImportService
DGVMAPPRPUPP01,Pass2_IDRBRValidation
DGVMAPPRPUPP01,Pass2_IDRDLCValidationService
DGVMAPPRPUPP01,Pass2_IDRToTMSImportService
DGVMAPPRPUPP01,TMSToIDRExportService
DGVMICRRPUPP01,RecognitionService
DGVMIMGRPUPP01,CAEDD_Audittrail_Extract
DGVMIMGRPUPP01,CollectorsService
DGVMIMGRPUPP01,ECSImageAnnot
DGVMIMGRPUPP01,ExportService
DGVMEXTDOMPP01,UnisysCASManager(ESTR01PP)
DGVMEXTDOMPP01,UnisysIndexManager(EDOM01PP)
DGVMEXTDOMPP01,UnisysKernel(EDOM01PP)
DGVMEXTDOMPP01,UnisysLocationManager(EDOM01PP)
DGVMEXTDOMPP01,UnisysObjectManager(EDOM01PP)
DGVMEXTDOMPP01,UnisysRouteEngine(EDOM01PP)
DGVMEXTDOMPP01,UnisysSecurityManager(EDOM01PP)
DGVMEXTDOMPP01,UnisysTransferManager(EDOM01PP)
DGVMEXTDOMPP01,UnisysUpdateUtility
DGVMEXTIEAPP01,DomainSyncService
DGVMEXTIWMPP01,Liferay_6.2-CE-GA1_Tomcat_Server
